CITY,PRICE,STATE,COUNTY,ZIPCODE,BEDROOMS,LATITUDE,BATHROOMS,LONGITUDE,STATEFIPS,COUNTYFIPS,LISTEDDATE,CREATEDDATE,LISTINGTYPE,ADDRESSLINE1,DAYSONMARKET,LASTSEENDATE,PROPERTYTYPE,SQUAREFOOTAGE
Austin,4500,TX,Travis,78731,4,30.345612,3.0,-97.758978,48,453,2025-12-02,2025-12-03,Standard,3520 Highland View Dr,47,2026-01-17,Single Family,2262.0
Austin,1275,TX,Travis,78748,2,30.178557,2.0,-97.822549,48,453,2025-12-02,2021-02-11,Standard,9406 Kempler Dr,47,2026-01-17,Multi-Family,900.0
Austin,3295,TX,Travis,78757,3,30.346085,3.0,-97.717592,48,453,2025-12-08,2025-12-09,Standard,1009 Taulbee Ln,41,2026-01-17,Condo,1826.0
Austin,2000,TX,Travis,78705,2,30.285962,2.0,-97.74619,48,453,2025-12-04,2024-12-17,Standard,715 W 22 1/2 St,45,2026-01-17,Condo,750.0
Austin,2350,TX,Travis,78745,2,30.214446,2.0,-97.770925,48,453,2025-11-22,2025-11-23,Standard,4802 S Congress Ave,57,2026-01-17,Condo,1280.0
Austin,1895,TX,Travis,78757,2,30.349953,2.0,-97.729289,48,453,2025-12-04,2020-06-25,Standard,1909 Morrow St,45,2026-01-17,Apartment,800.0
Austin,1425,TX,Travis,78759,2,30.413063,2.0,-97.730313,48,453,2025-12-03,2019-11-07,Standard,11800 Alpheus Ave,46,2026-01-17,Apartment,1004.0
Austin,2625,TX,Travis,78701,1,30.267661,1.0,-97.749622,48,453,2025-12-02,2024-11-09,Standard,360 Nueces St,47,2026-01-17,Condo,779.0
Austin,800,TX,Travis,78702,0,30.260665,1.0,-97.698364,48,453,2025-12-02,2019-06-22,Standard,901 Springdale Rd,47,2026-01-17,Apartment,480.0
Austin,1200,TX,Travis,78705,1,30.294714,1.0,-97.742966,48,453,2025-12-03,2019-12-14,Standard,2818 Nueces St,46,2026-01-17,Apartment,550.0
Austin,3400,TX,Travis,78752,4,30.330221,3.5,-97.701363,48,453,2025-12-02,2024-02-18,Standard,7006 Bennett Ave,47,2026-01-17,Single Family,2177.0
Austin,2200,TX,Travis,78723,2,30.287211,1.0,-97.704029,48,453,2025-11-26,2019-10-29,Standard,3705 Manorwood Rd,53,2026-01-17,Single Family,829.0
Austin,2250,TX,Travis,78726,3,30.4287,2.5,-97.845473,48,453,2025-12-06,2019-10-21,Standard,11929 Terraza Cir,43,2026-01-17,Townhouse,1708.0
Austin,4500,TX,Travis,78705,4,30.291748,4.0,-97.731354,48,453,2025-12-05,2025-12-06,Standard,703 Sparks Ave,44,2026-01-17,Apartment,1700.0
Austin,4500,TX,Travis,78741,3,30.242849,2.0,-97.73341,48,453,2025-11-19,2025-11-20,Standard,1604 Elmhurst Dr,60,2026-01-17,Single Family,1709.0
Austin,1400,TX,Travis,78705,1,30.289078,1.0,-97.749668,48,453,2025-11-25,2020-05-30,Standard,2408 Leon St,54,2026-01-17,Apartment,553.0
Austin,1030,TX,Travis,78724,1,30.2883332,1.0,-97.6260462,48,453,2025-12-08,2025-12-09,Standard,8700 Decker Lake Rd,41,2026-01-17,Condo,700.0
Austin,2700,TX,Travis,78748,3,30.178826,2.0,-97.823547,48,453,2025-11-22,2023-09-03,Standard,9408 Doliver Dr,57,2026-01-17,Single Family,1398.0
Austin,1100,TX,Travis,78721,1,30.255674,1.0,-97.686104,48,453,2025-11-25,2025-11-26,Standard,5909 Bolm Rd,54,2026-01-17,Apartment,480.0
